Org No,Name,Desc,Url,Technologies,Topics,My Score,Org Score,Org link,Guidance link
163,Submitty,Homework Autograding and Course Management Tools,https://summerofcode.withgoogle.com/programs/2023/organizations/submitty,"javascript, python, php, c++","education, web",41.66666666666667,60.0,https://submitty.org,https://submitty.org/developer/google_summer_of_code
68,PostgreSQL,The Most Advanced Open Source Relational Database,https://summerofcode.withgoogle.com/programs/2023/organizations/postgresql,"javascript, python, sql, c","web, database",41.66666666666667,60.0,https://postgresql.org,https://wiki.postgresql.org/wiki/GSoC
109,Plone Foundation,"Python-based CMS, with React front-end.",https://summerofcode.withgoogle.com/programs/2023/organizations/plone-foundation,"javascript, python",web,20.833333333333336,58.333333333333336,https://plone.org,nan
1,libssh,The SSH library,https://summerofcode.withgoogle.com/programs/2023/organizations/libssh,c,security,10.416666666666668,50.0,https://www.libssh.org/,https://www.libssh.org/google-summer-of-code/
67,Inkscape,Draw freely!,https://summerofcode.withgoogle.com/programs/2023/organizations/inkscape,"python, c++",web,20.833333333333336,50.0,https://inkscape.org,https://wiki.inkscape.org/wiki/Google_Summer_of_Code
8,Cockpit Project,Cockpit is an interactive server admin interface,https://summerofcode.withgoogle.com/programs/2023/organizations/cockpit-project,"javascript, python",web,20.833333333333336,50.0,https://cockpit-project.org/,https://github.com/cockpit-project/cockpit/wiki/GSoC-2023-topics
125,Wagtail,The powerful Python CMS for modern websites,https://summerofcode.withgoogle.com/programs/2023/organizations/wagtail,"javascript, python",web,20.833333333333336,50.0,https://wagtail.org/,https://wagtail.org/gsoc
123,Django Software Foundation,Web framework for perfectionists with deadlines,https://summerofcode.withgoogle.com/programs/2023/organizations/django-software-foundation-8o,python,web,10.416666666666668,50.0,https://www.djangoproject.com,https://code.djangoproject.com/wiki/SummerOfCode2023
3,Creative Commons,Nonprofit building a global digital commons.,https://summerofcode.withgoogle.com/programs/2023/organizations/creative-commons,"css, javascript, python, php",web,41.66666666666667,50.0,https://opensource.creativecommons.org/,https://opensource.creativecommons.org/programs/applicant-guide/
167,Python Software Foundation,A programming language used for science & more,https://summerofcode.withgoogle.com/programs/2023/organizations/python-software-foundation,"javascript, python, c++",security,31.25,47.5,https://python-gsoc.org/,https://python-gsoc.org/index.html#gettingstarted
