ONo,Name,Desc,Url,Nb Tech,Nb Topics,Org link,Guidance link
2,KDE Community,International team developing Open Source software,https://summerofcode.withgoogle.com/programs/2022/organizations/kde-community,2,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
5,Open Food Facts,Better food choices for your health & the planet,https://summerofcode.withgoogle.com/programs/2022/organizations/open-food-facts,2,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
8,Wikimedia Foundation,Brings free educational content to the world,https://summerofcode.withgoogle.com/programs/2022/organizations/wikimedia-foundation,6,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
11,Chromium,"Fast, seamless, safe, and reliable web for all",https://summerofcode.withgoogle.com/programs/2022/organizations/chromium-lj,4,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
18,OWASP Foundation,No more insecure software.,https://summerofcode.withgoogle.com/programs/2022/organizations/owasp-foundation,3,2
19,Debian,The Universal Operating System,https://summerofcode.withgoogle.com/programs/2022/organizations/debian,2,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
20,Inkscape,Draw freely!,https://summerofcode.withgoogle.com/programs/2022/organizations/inkscape,3,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
24,Global Alliance for Genomics and Health,We develop genomics tools to benefit human health,https://summerofcode.withgoogle.com/programs/2022/organizations/global-alliance-for-genomics-and-health,3,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
36,MIT App Inventor,Anyone can build apps with global impact.,https://summerofcode.withgoogle.com/programs/2022/organizations/mit-app-inventor,2,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
37,Rizin,Rizin reverse engineering framework and toolset,https://summerofcode.withgoogle.com/programs/2022/organizations/rizin,3,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
39,DBpedia,Global and Unified Access to Knowledge Graphs.,https://summerofcode.withgoogle.com/programs/2022/organizations/dbpedia,3,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
43,Oppia Foundation,"Free platform for interactive, tutor-like lessons",https://summerofcode.withgoogle.com/programs/2022/organizations/oppia-foundation,2,2,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
