Org No,Name,Desc,Url,Technologies,Topics,My Score,Org Score,Org link,Guidance link
1,libssh,The SSH library,https://summerofcode.withgoogle.com/programs/2023/organizations/libssh,c,security,10.416666666666668,50.0,https://www.libssh.org/,https://www.libssh.org/google-summer-of-code/
3,Creative Commons,Nonprofit building a global digital commons.,https://summerofcode.withgoogle.com/programs/2023/organizations/creative-commons,"css, javascript, python, php",web,41.66666666666667,50.0,https://opensource.creativecommons.org/,https://opensource.creativecommons.org/programs/applicant-guide/
6,Gentoo Foundation,"A flexible, source-based Linux distribution.",https://summerofcode.withgoogle.com/programs/2023/organizations/gentoo-foundation,"python, c, linux",security,31.25,40.0,https://www.gentoo.org/,https://wiki.gentoo.org/wiki/Google_Summer_of_Code/2023/Application_Guidelines
8,Cockpit Project,Cockpit is an interactive server admin interface,https://summerofcode.withgoogle.com/programs/2023/organizations/cockpit-project,"javascript, python",web,20.833333333333336,50.0,https://cockpit-project.org/,https://github.com/cockpit-project/cockpit/wiki/GSoC-2023-topics
10,Mayor's Office of New Urban Mechanics,Exploring new approaches to civic life.,https://summerofcode.withgoogle.com/programs/2023/organizations/mayors-office-of-new-urban-mechanics,"javascript, python",web,20.833333333333336,35.0,https://www.boston.gov/mechanics,https://monum.github.io/gsoc-2023/guidance
21,Mathesar,Webapp providing a UX-first interface to databases,https://summerofcode.withgoogle.com/programs/2023/organizations/mathesar,"javascript, python",web,20.833333333333336,30.0,https://mathesar.org/,https://wiki.mathesar.org/en/community/mentoring
23,Ruby,Ruby is an object-oriented programming language,https://summerofcode.withgoogle.com/programs/2023/organizations/ruby,c,"security, web",10.416666666666668,30.0,https://www.ruby-lang.org/,https://github.com/rubygsoc/rubygsoc/wiki/Getting-Involved
35,OWASP Foundation,No more insecure software.,https://summerofcode.withgoogle.com/programs/2023/organizations/owasp-foundation,"javascript, python",web,20.833333333333336,30.0,https://owasp.org
44,LibreHealth,Healthcare for Humanity,https://summerofcode.withgoogle.com/programs/2023/organizations/librehealth,"javascript, python",web,20.833333333333336,30.0,https://librehealth.io,https://forums.librehealth.io/t/readme-making-a-successful-gsoc-proposal/4359
46,Drupal Association,The best open source digital experience platform,https://summerofcode.withgoogle.com/programs/2023/organizations/drupal-association,"html, javascript, php",web,31.25,40.0,https://drupal.org,https://www.drupal.org/community/contributor-guide/reference-information/google-summer-of-code/for-gsoc-students-where-to
