Num,Name,Description,Url
0,Scalable Parallel Computing Laboratory,High-performance computing for clusters and clouds,https://summerofcode.withgoogle.com/programs/2023/organizations/scalable-parallel-computing-laboratory
1,libssh,The SSH library,https://summerofcode.withgoogle.com/programs/2023/organizations/libssh
2,TARDIS RT Collaboration,Exploring supernovae made easy,https://summerofcode.withgoogle.com/programs/2023/organizations/tardis-rt-collaboration
3,Creative Commons,Nonprofit building a global digital commons.,https://summerofcode.withgoogle.com/programs/2023/organizations/creative-commons
4,libvirt,Virtualization abstraction library,https://summerofcode.withgoogle.com/programs/2023/organizations/libvirt
5,AboutCode,"Scan code for origin, license and vulnerabilities",https://summerofcode.withgoogle.com/programs/2023/organizations/aboutcode
6,Gentoo Foundation,"A flexible, source-based Linux distribution.",https://summerofcode.withgoogle.com/programs/2023/organizations/gentoo-foundation
7,CRIU,Chekpoint/Restore for Linux tasks and containers,https://summerofcode.withgoogle.com/programs/2023/organizations/criu
8,Cockpit Project,Cockpit is an interactive server admin interface,https://summerofcode.withgoogle.com/programs/2023/organizations/cockpit-project
9,OSGeo (Open Source Geospatial Foundation),The Open Source Geospatial Foundation,https://summerofcode.withgoogle.com/programs/2023/organizations/osgeo-open-source-geospatial-foundation
10,Mayor's Office of New Urban Mechanics,Exploring new approaches to civic life.,https://summerofcode.withgoogle.com/programs/2023/organizations/mayors-office-of-new-urban-mechanics
11,Open Robotics,Development of open source robotics,https://summerofcode.withgoogle.com/programs/2023/organizations/open-robotics
12,FOSSology,Open Source License Compliance by OSS,https://summerofcode.withgoogle.com/programs/2023/organizations/fossology
13,FreeType,FreeType is a software library to render fonts.,https://summerofcode.withgoogle.com/programs/2023/organizations/freetype
14,Micro Electronics Research Lab - UITU,Accelerating Engineering Innovation,https://summerofcode.withgoogle.com/programs/2023/organizations/micro-electronics-research-lab-uitu
15,Zulip,Modern team chat app designed for efficiency.,https://summerofcode.withgoogle.com/programs/2023/organizations/zulip
16,Ivy (lets-unify.ai),"All of AI, at your Fingertips.",https://summerofcode.withgoogle.com/programs/2023/organizations/ivy-lets-unifyai
17,Liquid Galaxy project,We code immersive and interactive aps with G Earth,https://summerofcode.withgoogle.com/programs/2023/organizations/liquid-galaxy-project
18,libcamera,Provide an open source camera stack for linux,https://summerofcode.withgoogle.com/programs/2023/organizations/libcamera
19,Ceph,The Future of Storage,https://summerofcode.withgoogle.com/programs/2023/organizations/ceph
20,CNCF,Building sustainable ecosystems for cloud native,https://summerofcode.withgoogle.com/programs/2023/organizations/cncf
21,Mathesar,Webapp providing a UX-first interface to databases,https://summerofcode.withgoogle.com/programs/2023/organizations/mathesar
22,FLARE,Industry leading malware analysis,https://summerofcode.withgoogle.com/programs/2023/organizations/flare
23,Ruby,Ruby is an object-oriented programming language,https://summerofcode.withgoogle.com/programs/2023/organizations/ruby
24,TensorFlow,TensorFlow is a ML framework for everyone.,https://summerofcode.withgoogle.com/programs/2023/organizations/tensorflow-d1
25,The Palisadoes Foundation,Transforming non-profit organizations in the cloud,https://summerofcode.withgoogle.com/programs/2023/organizations/the-palisadoes-foundation
26,GNOME Foundation,A diverse and sustainable free software desktop.,https://summerofcode.withgoogle.com/programs/2023/organizations/gnome-foundation
27,caMicroscope,Toolkit for cancer imaging research,https://summerofcode.withgoogle.com/programs/2023/organizations/camicroscope
28,Open Genome Informatics,Open access genomics and bioinformatics projects,https://summerofcode.withgoogle.com/programs/2023/organizations/open-genome-informatics
29,LLVM Compiler Infrastructure,LLVM Compiler Infrastructure,https://summerofcode.withgoogle.com/programs/2023/organizations/llvm-compiler-infrastructure
30,Haiku,Operating system that targets personal computing.,https://summerofcode.withgoogle.com/programs/2023/organizations/haiku
31,GNU Image Manipulation Program,GIMP is a cross-platform image editor,https://summerofcode.withgoogle.com/programs/2023/organizations/gnu-image-manipulation-program
32,CGAL Project,C++ library of computational geometry,https://summerofcode.withgoogle.com/programs/2023/organizations/cgal-project
33,Jina AI,The most advanced MLOps platform for Multimodal AI,https://summerofcode.withgoogle.com/programs/2023/organizations/jina-ai-sb
34,National Resource for Network Biology (NRNB),Developing open source tools for network biology,https://summerofcode.withgoogle.com/programs/2023/organizations/national-resource-for-network-biology-nrnb
35,OWASP Foundation,No more insecure software.,https://summerofcode.withgoogle.com/programs/2023/organizations/owasp-foundation
36,Organic Maps,"Offline maps app for tourists, cyclers & hikers",https://summerofcode.withgoogle.com/programs/2023/organizations/organic-maps
37,Synfig,Open-source 2D animation software,https://summerofcode.withgoogle.com/programs/2023/organizations/synfig
38,ArduPilot,World's most advanced autonomous vehicle software,https://summerofcode.withgoogle.com/programs/2023/organizations/ardupilot
39,MetaCall,Simplifying the embedding of programming languages,https://summerofcode.withgoogle.com/programs/2023/organizations/metacall
40,Red Hen Lab,Research on Multimodal Communication,https://summerofcode.withgoogle.com/programs/2023/organizations/red-hen-lab
41,AOSSIE,Australian Umbrella Org for Open-Source Projects,https://summerofcode.withgoogle.com/programs/2023/organizations/aossie
42,GNU Project,Development of the GNU Operating System,https://summerofcode.withgoogle.com/programs/2023/organizations/gnu-project
43,openSUSE Project,"Makers' choice for sysadmins, developers & users",https://summerofcode.withgoogle.com/programs/2023/organizations/opensuse-project
44,LibreHealth,Healthcare for Humanity,https://summerofcode.withgoogle.com/programs/2023/organizations/librehealth
45,GRAME,Domain specific language for audio,https://summerofcode.withgoogle.com/programs/2023/organizations/grame
46,Drupal Association,The best open source digital experience platform,https://summerofcode.withgoogle.com/programs/2023/organizations/drupal-association
47,Blender Foundation,The Freedom to Create,https://summerofcode.withgoogle.com/programs/2023/organizations/blender-foundation
48,XWiki,The Advanced Open Source Enterprise Wiki,https://summerofcode.withgoogle.com/programs/2023/organizations/xwiki
49,GnuTLS,C library implementing TLS and DTLS,https://summerofcode.withgoogle.com/programs/2023/organizations/gnutls
50,Wikimedia Foundation,Brings free educational content to the world,https://summerofcode.withgoogle.com/programs/2023/organizations/wikimedia-foundation
51,Eclipse Foundation,The Global Open Source Foundation,https://summerofcode.withgoogle.com/programs/2023/organizations/eclipse-foundation
52,Keploy,E2E testing and mocking toolkit for developers,https://summerofcode.withgoogle.com/programs/2023/organizations/keploy
53,Chromium,"Fast, seamless, safe, and reliable web for all",https://summerofcode.withgoogle.com/programs/2023/organizations/chromium-lj
54,VideoLAN,Open source believers rocking the multimedia world,https://summerofcode.withgoogle.com/programs/2023/organizations/videolan
55,Rizin,Rizin reverse engineering framework and toolset,https://summerofcode.withgoogle.com/programs/2023/organizations/rizin
56,The FreeBSD Project,FreeBSD: An OS for servers to embedded systems,https://summerofcode.withgoogle.com/programs/2023/organizations/the-freebsd-project
57,LibreOffice,LibreOffice is a free and open source office suite,https://summerofcode.withgoogle.com/programs/2023/organizations/libreoffice
58,Swift,"Fast, safe, and expressive programming language",https://summerofcode.withgoogle.com/programs/2023/organizations/swift
59,Processing Foundation,To empower all people to learn to program,https://summerofcode.withgoogle.com/programs/2023/organizations/processing-foundation
60,Kiwix,Internet content available offline.,https://summerofcode.withgoogle.com/programs/2023/organizations/kiwix
61,OpenAstronomy,Look at the Universe with the power of open source,https://summerofcode.withgoogle.com/programs/2023/organizations/openastronomy
62,CERN-HSF,Umbrella for Particle Physics-related projects,https://summerofcode.withgoogle.com/programs/2023/organizations/cern-hsf
63,MoveIt,Moving robots into the future,https://summerofcode.withgoogle.com/programs/2023/organizations/moveit
64,"Department of Biomedical Informatics, Emory University",Biomedical research to advance healthcare,https://summerofcode.withgoogle.com/programs/2023/organizations/department-of-biomedical-informatics-emory-university
65,CloudCV,Building platforms for reproducible AI Research,https://summerofcode.withgoogle.com/programs/2023/organizations/cloudcv
66,GCP Scanner,Security scanning tool for Google Cloud,https://summerofcode.withgoogle.com/programs/2023/organizations/gcp-scanner
67,Inkscape,Draw freely!,https://summerofcode.withgoogle.com/programs/2023/organizations/inkscape
68,PostgreSQL,The Most Advanced Open Source Relational Database,https://summerofcode.withgoogle.com/programs/2023/organizations/postgresql
69,OpenWISP,The Hackable Network Management System,https://summerofcode.withgoogle.com/programs/2023/organizations/openwisp
70,UC OSPO,Amplifying Research Impact through Open Source,https://summerofcode.withgoogle.com/programs/2023/organizations/uc-ospo
71,checkstyle,Helps to adheres of Java coding standard,https://summerofcode.withgoogle.com/programs/2023/organizations/checkstyle
72,Invesalius,3D Medical visualization and neuronavigation tool,https://summerofcode.withgoogle.com/programs/2023/organizations/invesalius
73,MetaBrainz Foundation Inc,"Open music / book metadata, music recommendations",https://summerofcode.withgoogle.com/programs/2023/organizations/metabrainz-foundation-inc
74,GNU Compiler Collection (GCC),GNU compilers,https://summerofcode.withgoogle.com/programs/2023/organizations/gnu-compiler-collection-gcc
75,Sugar Labs,Learning software for children,https://summerofcode.withgoogle.com/programs/2023/organizations/sugar-labs
76,MuseScore,The World’s Most Popular Music Notation Software,https://summerofcode.withgoogle.com/programs/2023/organizations/musescore
