ONo,Name,Desc,Url,Nb Tech,Nb Topics,Org link,Guidance link
1,OpenAstronomy,Look at the Universe with the power of open source,https://summerofcode.withgoogle.com/programs/2022/organizations/openastronomy,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
2,KDE Community,International team developing Open Source software,https://summerofcode.withgoogle.com/programs/2022/organizations/kde-community,2,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
3,PEcAn Project,Develop and promote tools for ecosystem modeling,https://summerofcode.withgoogle.com/programs/2022/organizations/pecan-project,1,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
4,NumFOCUS,NumFOCUS promotes open source scientific software.,https://summerofcode.withgoogle.com/programs/2022/organizations/numfocus,3,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
5,Open Food Facts,Better food choices for your health & the planet,https://summerofcode.withgoogle.com/programs/2022/organizations/open-food-facts,2,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
6,moja global,Collaboration for change,https://summerofcode.withgoogle.com/programs/2022/organizations/moja-global,4,0
7,OpenVINO Toolkit,Make AI inference faster and easier to deploy!,https://summerofcode.withgoogle.com/programs/2022/organizations/openvino-toolkit,3,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
8,Wikimedia Foundation,Brings free educational content to the world,https://summerofcode.withgoogle.com/programs/2022/organizations/wikimedia-foundation,6,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
10,Intel Video and Audio for Linux,We enable Linux Audio and Video for Intel,https://summerofcode.withgoogle.com/programs/2022/organizations/intel-video-and-audio-for-linux,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
11,Chromium,"Fast, seamless, safe, and reliable web for all",https://summerofcode.withgoogle.com/programs/2022/organizations/chromium-lj,4,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
12,OpenCV,++ beneficial uses of computer vision in society,https://summerofcode.withgoogle.com/programs/2022/organizations/opencv,3,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
13,BRL-CAD,3D CAD & other computer-aided tech (CAx),https://summerofcode.withgoogle.com/programs/2022/organizations/brl-cad,3,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
14,CRIU,Chekpoint/Restore for Linux tasks and containers,https://summerofcode.withgoogle.com/programs/2022/organizations/criu,3,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
15,OpenWISP,The Hackable Network Management System,https://summerofcode.withgoogle.com/programs/2022/organizations/openwisp,3,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
16,GeomScale,Scalable geometric and statistical software,https://summerofcode.withgoogle.com/programs/2022/organizations/geomscale,3,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
17,Red Hen Lab,Research on Multimodal Communication,https://summerofcode.withgoogle.com/programs/2022/organizations/red-hen-lab,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
18,OWASP Foundation,No more insecure software.,https://summerofcode.withgoogle.com/programs/2022/organizations/owasp-foundation,3,2
19,Debian,The Universal Operating System,https://summerofcode.withgoogle.com/programs/2022/organizations/debian,2,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
20,Inkscape,Draw freely!,https://summerofcode.withgoogle.com/programs/2022/organizations/inkscape,3,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
21,RTEMS Project,A real-time operating system for Earth & Space,https://summerofcode.withgoogle.com/programs/2022/organizations/rtems-project,3,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
22,MDAnalysis,Analysis of molecular simulations data with Python,https://summerofcode.withgoogle.com/programs/2022/organizations/mdanalysis,3,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
24,Global Alliance for Genomics and Health,We develop genomics tools to benefit human health,https://summerofcode.withgoogle.com/programs/2022/organizations/global-alliance-for-genomics-and-health,3,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
25,CGAL Project,C++ library of computational geometry,https://summerofcode.withgoogle.com/programs/2022/organizations/cgal-project,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
26,The Honeynet Project,Honeypots and Threat Intelligence R&D,https://summerofcode.withgoogle.com/programs/2022/organizations/the-honeynet-project,3,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
27,Ceph,The Future of Storage,https://summerofcode.withgoogle.com/programs/2022/organizations/ceph,4,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
28,ReactOS Foundation,Open your windows to freedom!,https://summerofcode.withgoogle.com/programs/2022/organizations/reactos-foundation,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
29,LLVM Compiler Infrastructure,LLVM Compiler Infrastructure,https://summerofcode.withgoogle.com/programs/2022/organizations/llvm-compiler-infrastructure,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
30,libvirt,Virtualization abstraction library,https://summerofcode.withgoogle.com/programs/2022/organizations/libvirt,1,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
31,FFmpeg,"Record, convert and stream audio & video",https://summerofcode.withgoogle.com/programs/2022/organizations/ffmpeg,1,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
32,Open3D team,A Modern Library for 3D Data Processing,https://summerofcode.withgoogle.com/programs/2022/organizations/open3d-team,3,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
33,Ste||ar group,Shaping a Scalable Future,https://summerofcode.withgoogle.com/programs/2022/organizations/stear-group,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
34,SPDX,An open ISO standard for SBOMs,https://summerofcode.withgoogle.com/programs/2022/organizations/spdx,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
35,MoveIt,Moving robots into the future,https://summerofcode.withgoogle.com/programs/2022/organizations/moveit,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
36,MIT App Inventor,Anyone can build apps with global impact.,https://summerofcode.withgoogle.com/programs/2022/organizations/mit-app-inventor,2,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
37,Rizin,Rizin reverse engineering framework and toolset,https://summerofcode.withgoogle.com/programs/2022/organizations/rizin,3,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
38,AOSSIE,Australian Umbrella Org for Open-Source Projects,https://summerofcode.withgoogle.com/programs/2022/organizations/aossie,3,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
39,DBpedia,Global and Unified Access to Knowledge Graphs.,https://summerofcode.withgoogle.com/programs/2022/organizations/dbpedia,3,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
41,"Department of Biomedical Informatics, Emory University",Biomedical research to advance healthcare,https://summerofcode.withgoogle.com/programs/2022/organizations/department-of-biomedical-informatics-emory-university,3,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
42,TianoCore,"Modern, open source, UEFI BIOS firmware",https://summerofcode.withgoogle.com/programs/2022/organizations/tianocore,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
43,Oppia Foundation,"Free platform for interactive, tutor-like lessons",https://summerofcode.withgoogle.com/programs/2022/organizations/oppia-foundation,2,2,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
44,Unikraft,Unikraft is a fast and secure unikernel SDK,https://summerofcode.withgoogle.com/programs/2022/organizations/unikraft,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
45,coreboot,"Fast, secure and flexible BIOS firmware",https://summerofcode.withgoogle.com/programs/2022/organizations/coreboot,1,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
46,TARDIS RT Collaboration,Exploring supernovae made easy,https://summerofcode.withgoogle.com/programs/2022/organizations/tardis-rt-collaboration,1,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
47,MetaCall,Simplifying the embedding of programming languages,https://summerofcode.withgoogle.com/programs/2022/organizations/metacall,4,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
48,mlpack,"a fast, flexible machine learning library",https://summerofcode.withgoogle.com/programs/2022/organizations/mlpack,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
49,Mixxx,DJ Mixing App With Powerful Features For All DJs,https://summerofcode.withgoogle.com/programs/2022/organizations/mixxx,3,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
50,OpenStreetMap,Create and distribute free geodata for the world,https://summerofcode.withgoogle.com/programs/2022/organizations/openstreetmap,5,1,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
51,GNOME Foundation,A diverse and sustainable free software desktop.,https://summerofcode.withgoogle.com/programs/2022/organizations/gnome-foundation,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
52,Liquid Galaxy project,We code immersive and interactive aps with G Earth,https://summerofcode.withgoogle.com/programs/2022/organizations/liquid-galaxy-project,2,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
53,LibreOffice,LibreOffice is a free and open source office suite,https://summerofcode.withgoogle.com/programs/2022/organizations/libreoffice,3,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
55,RoboComp,Open-source framework to develop robot components,https://summerofcode.withgoogle.com/programs/2022/organizations/robocomp,3,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
56,The Linux Foundation,Non-profit consortium fostering growth of Linux,https://summerofcode.withgoogle.com/programs/2022/organizations/the-linux-foundation,3,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
57,CERN-HSF,Umbrella for Particle Physics-related projects,https://summerofcode.withgoogle.com/programs/2022/organizations/cern-hsf,3,0,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
58,Submitty,Homework Autograding and Course Management Tools,https://summerofcode.withgoogle.com/programs/2022/organizations/submitty,6,3,https://policies.google.com/technologies/cookies,https://policies.google.com/technologies/cookies
